"Sample","Raw_Reads","Clean_Reads","Reads_passed_filter_pct","Clean_Q30_pct","Mapped_to_contaminants_pct","Retained_unmapped_pairs","Input_Reads","Uniquely_Mapped_Reads","Uniquely_Mapped_pct","Multi_Mapped_pct","Assigned_pct","Unassigned_NoFeatures_pct","Unassigned_Ambiguity_pct"
"SRR28578498",87033728,85839708,98.63,93.13,48.35,24720333,24720333,21928209,88.71,0.92,43.94,40.1,3.18
"SRR28578499",53375776,52502078,98.36,93.47,49.78,14665653,14665653,13277362,90.53,1.11,45.38,40.24,3.22
"SRR28578500",63051844,62185094,98.63,92.89,50.1,17355947,17355947,15471803,89.14,0.97,44.82,39.57,3.19
"SRR28578501",79723648,78638326,98.64,93.4,51.71,21465017,21465017,18750845,87.36,1.26,42.22,39.68,3.65
"SRR28578502",73222742,71829590,98.1,92.33,47.75,20792350,20792350,18974415,91.26,1.12,45.12,40.89,3.53
"SRR28578503",71950942,70794642,98.39,93.56,48.05,20485073,20485073,18365243,89.65,1.07,43.31,40.97,3.79
"SRR28578504",71060946,69992144,98.5,93.91,45.2,21042462,21042462,18392414,87.41,0.85,38.61,44.17,3.23
"SRR28578505",70246906,69012446,98.24,93.57,45.2,20984053,20984053,18681314,89.03,0.88,39.73,43.91,4.06
"SRR28578506",98165658,96948154,98.76,93.05,53.77,26075424,26075424,22370495,85.79,0.83,45.6,36.07,2.77
"SRR28578507",72089054,70969276,98.45,93.15,47.47,20743078,20743078,18487097,89.12,1,43.34,40.71,3.52
"SRR28578508",76122870,75157928,98.73,93.66,49.8,21356624,21356624,18673225,87.44,0.86,44.98,38.16,2.91
"SRR28578509",70560654,69550928,98.57,93.28,50.77,19401265,19401265,17562233,90.52,1.18,47.4,37.98,3.41
"SRR28578510",53248038,52486892,98.57,93.51,51.52,14307573,14307573,12820932,89.61,1.04,47.01,37.9,3.06
"SRR28578511",72750912,71890102,98.82,93.2,49.59,20406566,20406566,17774234,87.1,0.92,43.09,39.4,3.16
"SRR28578512",66645396,65908780,98.89,92.9,55.66,16909861,16909861,15010574,88.77,0.93,50.54,34,2.66
"SRR28578513",54641902,53708578,98.29,93.78,42.89,16817319,16817319,15066901,89.59,0.86,38.35,45.57,4.33
"SRR28578514",62371376,61542572,98.67,93.31,46.96,18193650,18193650,16012700,88.01,0.85,42.94,40.36,3.37
"SRR28578515",71856852,70924610,98.7,93.52,52.1,19265115,19265115,17051865,88.51,1.01,45.59,38.21,3.1
