"Sample","Raw_Reads","Raw_Bases","Raw_Q30_pct","Raw_GC_pct","Raw_R1_mean_len","Raw_R2_mean_len","Clean_Reads","Clean_Bases","Clean_Q30_pct","Clean_GC_pct","Clean_R1_mean_len","Clean_R2_mean_len","Reads_passed_filter","Reads_passed_filter_pct","Reads_low_quality","Reads_too_short","Reads_too_many_N","Duplication_Rate_pct"
"SRR28578498",87033728,13055059200,92.5,49.18,150,150,85839708,11889141640,93.13,49.19,138,138,85839708,98.63,592086,575842,26092,51.29
"SRR28578499",53375776,8006366400,92.59,48.05,150,150,52502078,7215110121,93.47,48.17,137,137,52502078,98.36,373536,482678,17484,48.45
"SRR28578500",63051844,9457776600,92.11,47.92,150,150,62185094,8591306862,92.89,47.92,138,138,62185094,98.63,413948,434464,18338,47.91
"SRR28578501",79723648,11958547200,92.69,47.98,150,150,78638326,10932559126,93.4,47.91,139,139,78638326,98.64,570792,488872,25658,50.49
"SRR28578502",73222742,10983411300,91.6,49.09,150,150,71829590,9848890430,92.33,49.08,137,137,71829590,98.1,462874,911216,19062,51.75
"SRR28578503",71950942,10792641300,92.76,49.34,150,150,70794642,9767538675,93.56,49.38,137,137,70794642,98.39,578212,554650,23438,48.16
"SRR28578504",71060946,10659141900,93.12,50.48,150,150,69992144,9611655950,93.91,50.59,137,137,69992144,98.5,508564,536948,23290,48.59
"SRR28578505",70246906,10537035900,92.76,50.87,150,150,69012446,9529406102,93.57,51.08,138,138,69012446,98.24,628992,582030,23438,48.95
"SRR28578506",98165658,14724848700,92.51,48.28,150,150,96948154,13909227792,93.05,48.27,143,143,96948154,98.76,814582,371308,31614,52.62
"SRR28578507",72089054,10813358100,92.42,49.53,150,150,70969276,9768823329,93.15,49.56,137,137,70969276,98.45,502986,595174,21618,47.27
"SRR28578508",76122870,11418430500,93.05,48.86,150,150,75157928,10542387976,93.66,49.02,140,140,75157928,98.73,566992,372346,25604,50.33
"SRR28578509",70560654,10584098100,92.58,48.42,150,150,69550928,9714198595,93.28,48.45,139,139,69550928,98.57,512086,475018,22622,47.14
"SRR28578510",53248038,7987205700,92.79,47.5,150,150,52486892,7261171586,93.51,47.47,138,138,52486892,98.57,379850,364128,17168,49.06
"SRR28578511",72750912,10912636800,92.57,49.02,150,150,71890102,10055707945,93.2,49.04,139,139,71890102,98.82,481682,357232,21896,47.43
"SRR28578512",66645396,9996809400,92.34,46.56,150,150,65908780,9375708507,92.9,46.49,142,142,65908780,98.89,461284,255216,20116,48.84
"SRR28578513",54641902,8196285300,93,51.76,150,150,53708578,7379393086,93.78,52.04,137,137,53708578,98.29,480146,435230,17948,47.51
"SRR28578514",62371376,9355706400,92.62,50.14,150,150,61542572,8559262848,93.31,50.14,139,139,61542572,98.67,447440,361594,19770,47.82
"SRR28578515",71856852,10778527800,92.82,47.49,150,150,70924610,9886234176,93.52,47.54,139,139,70924610,98.7,504530,404696,23016,49.33
