"Sample","Input_Read_Pairs","Aligned_Concordantly_1","Aligned_Concordantly_1_pct","Aligned_Concordantly_gt1","Aligned_Concordantly_gt1_pct","Mapped_to_contaminants_pairs","Mapped_to_contaminants_pct","Retained_unmapped_pairs","Retained_unmapped_pct"
"SRR28578498",42919854,15893367,37.03,2306154,5.37,18199521,48.35,24720333,51.65
"SRR28578499",26251039,10089634,38.44,1495752,5.7,11585386,49.78,14665653,50.22
"SRR28578500",31092547,12009545,38.63,1727055,5.55,13736600,50.1,17355947,49.9
"SRR28578501",39319163,15665488,39.84,2188658,5.57,17854146,51.71,21465017,48.29
"SRR28578502",35914795,13205647,36.77,1916798,5.34,15122445,47.75,20792350,52.25
"SRR28578503",35397321,12935484,36.54,1976764,5.58,14912248,48.05,20485073,51.95
"SRR28578504",34996072,12223272,34.93,1730338,4.94,13953610,45.2,21042462,54.8
"SRR28578505",34506223,11875019,34.41,1647151,4.77,13522170,45.2,20984053,54.8
"SRR28578506",48474077,19509130,40.25,2889523,5.96,22398653,53.77,26075424,46.23
"SRR28578507",35484638,12829238,36.15,1912322,5.39,14741560,47.47,20743078,52.53
"SRR28578508",37578964,14116831,37.57,2105509,5.6,16222340,49.8,21356624,50.2
"SRR28578509",34775464,13356488,38.41,2017711,5.8,15374199,50.77,19401265,49.23
"SRR28578510",26243446,10332562,39.37,1603311,6.11,11935873,51.52,14307573,48.48
"SRR28578511",35945051,13618331,37.89,1920154,5.34,15538485,49.59,20406566,50.41
"SRR28578512",32954390,13905909,42.2,2138620,6.49,16044529,55.66,16909861,44.34
"SRR28578513",26854289,8822056,32.85,1214914,4.52,10036970,42.89,16817319,57.11
"SRR28578514",30771286,11032464,35.85,1545172,5.02,12577636,46.96,18193650,53.04
"SRR28578515",35462305,14113944,39.8,2083246,5.87,16197190,52.1,19265115,47.9
