"Sample","Input_Reads","Avg_Input_Read_Length","Uniquely_Mapped_Reads","Uniquely_Mapped_pct","Avg_Mapped_Length","Splices_Total","Multi_Mapped_Reads","Multi_Mapped_pct","Unmapped_TooShort_pct","Unmapped_Mismatch_pct","Unmapped_Other_pct"
"SRR28578498",24720333,271,21928209,88.71,266.64,6716396,227792,0.92,10.26,0,0.02
"SRR28578499",14665653,267,13277362,90.53,263.98,4024241,162531,1.11,8.24,0,0.02
"SRR28578500",17355947,269,15471803,89.14,265.2,5016634,167893,0.97,9.77,0,0.02
"SRR28578501",21465017,271,18750845,87.36,266.89,5800855,270629,1.26,11.26,0,0.03
"SRR28578502",20792350,267,18974415,91.26,263.78,5658946,232192,1.12,7.5,0,0.02
"SRR28578503",20485073,269,18365243,89.65,265.41,5417814,219249,1.07,9.17,0,0.02
"SRR28578504",21042462,269,18392414,87.41,263.99,4940147,178751,0.85,11.63,0,0.02
"SRR28578505",20984053,270,18681314,89.03,265.77,4998583,185258,0.88,10,0,0.02
"SRR28578506",26075424,282,22370495,85.79,278.23,7703470,216168,0.83,13.26,0,0.02
"SRR28578507",20743078,269,18487097,89.12,264.78,5425674,207414,1,9.76,0,0.02
"SRR28578508",21356624,275,18673225,87.44,270.6,6231634,184171,0.86,11.59,0,0.02
"SRR28578509",19401265,273,17562233,90.52,269.45,5661551,229730,1.18,8.18,0,0.02
"SRR28578510",14307573,269,12820932,89.61,265.8,4266154,148682,1.04,9.23,0,0.03
"SRR28578511",20406566,274,17774234,87.1,269.62,5594241,186845,0.92,11.87,0,0.02
"SRR28578512",16909861,278,15010574,88.77,275.14,5532440,157219,0.93,10.17,0,0.03
"SRR28578513",16817319,269,15066901,89.59,264.8,3680060,144892,0.86,9.45,0,0.02
"SRR28578514",18193650,272,16012700,88.01,268.18,4956434,154950,0.85,11.04,0,0.02
"SRR28578515",19265115,272,17051865,88.51,268.08,5700241,195101,1.01,10.35,0,0.03
