"Sample","Assigned","Unassigned_NoFeatures","Unassigned_Ambiguity","Unassigned_MultiMapping","Total_Reads","Assigned_pct","Unassigned_NoFeatures_pct","Unassigned_Ambiguity_pct","Unassigned_MultiMapping_pct"
"SRR28578498",22094333,20161026,1601051,1294422,50279504,43.94,40.1,3.18,2.57
"SRR28578499",13564865,12028722,961132,888073,29894318,45.38,40.24,3.22,2.97
"SRR28578500",15835960,13981067,1126574,955342,35331450,44.82,39.57,3.19,2.7
"SRR28578501",18507018,17394101,1600562,1447454,43836230,42.22,39.68,3.65,3.3
"SRR28578502",19122260,17329386,1497181,1261250,42381566,45.12,40.89,3.53,2.98
"SRR28578503",18063371,17088124,1578988,1179450,41711098,43.31,40.97,3.79,2.83
"SRR28578504",16513888,18888823,1382110,1041172,42768594,38.61,44.17,3.23,2.43
"SRR28578505",16925639,18708087,1728897,1009360,42606950,39.73,43.91,4.06,2.37
"SRR28578506",24160878,19112960,1467147,1268564,52987076,45.6,36.07,2.77,2.39
"SRR28578507",18298644,17190951,1484591,1152208,42223536,43.34,40.71,3.52,2.73
"SRR28578508",19520623,16562562,1263262,1054440,43399346,44.98,38.16,2.91,2.43
"SRR28578509",18750864,15022872,1350723,1211812,39554882,47.4,37.98,3.41,3.06
"SRR28578510",13702609,11048216,891034,832892,29150674,47.01,37.9,3.06,2.86
"SRR28578511",17884921,16351622,1311919,1063078,41502520,43.09,39.4,3.16,2.56
"SRR28578512",17401316,11705319,914510,922988,34428272,50.54,34,2.66,2.68
"SRR28578513",13096333,15560628,1476838,801618,34146472,38.35,45.57,4.33,2.35
"SRR28578514",15868008,14914001,1243390,872370,36949770,42.94,40.36,3.37,2.36
"SRR28578515",17892782,14995114,1215831,1107990,39248018,45.59,38.21,3.1,2.82
