"Sample","Raw_Pairs","Post_Trim_Pairs","Post_Decontam_Pairs","Uniquely_Mapped_Pairs","Trim_Pct","Decontam_Pct","Uniquely_Mapped_Pct"
"SRR28578498",43516864,42919854,24720333,21928209,98.63,56.81,50.39
"SRR28578499",26687888,26251039,14665653,13277362,98.36,54.95,49.75
"SRR28578500",31525922,31092547,17355947,15471803,98.63,55.05,49.08
"SRR28578501",39861824,39319163,21465017,18750845,98.64,53.85,47.04
"SRR28578502",36611371,35914795,20792350,18974415,98.1,56.79,51.83
"SRR28578503",35975471,35397321,20485073,18365243,98.39,56.94,51.05
"SRR28578504",35530473,34996072,21042462,18392414,98.5,59.22,51.77
"SRR28578505",35123453,34506223,20984053,18681314,98.24,59.74,53.19
"SRR28578506",49082829,48474077,26075424,22370495,98.76,53.13,45.58
"SRR28578507",36044527,35484638,20743078,18487097,98.45,57.55,51.29
"SRR28578508",38061435,37578964,21356624,18673225,98.73,56.11,49.06
"SRR28578509",35280327,34775464,19401265,17562233,98.57,54.99,49.78
"SRR28578510",26624019,26243446,14307573,12820932,98.57,53.74,48.16
"SRR28578511",36375456,35945051,20406566,17774234,98.82,56.1,48.86
"SRR28578512",33322698,32954390,16909861,15010574,98.89,50.75,45.05
"SRR28578513",27320951,26854289,16817319,15066901,98.29,61.55,55.15
"SRR28578514",31185688,30771286,18193650,16012700,98.67,58.34,51.35
"SRR28578515",35928426,35462305,19265115,17051865,98.7,53.62,47.46
