"Source","Comparison","Cutoff","Total_DEGs","Up","Down"
"time_contrasts","control_48h_vs_24h","lfc1 (|LFC|>1)",15,5,10
"time_contrasts","control_48h_vs_24h","lfc058 (|LFC|>0.58)",29,7,22
"time_contrasts","control_48h_vs_24h","pval (padj<0.05)",86,19,67
"time_contrasts","control_72h_vs_24h","lfc1 (|LFC|>1)",40,8,32
"time_contrasts","control_72h_vs_24h","lfc058 (|LFC|>0.58)",174,44,130
"time_contrasts","control_72h_vs_24h","pval (padj<0.05)",490,165,325
"time_contrasts","overall_48h_vs_24h","lfc1 (|LFC|>1)",6,0,6
"time_contrasts","overall_48h_vs_24h","lfc058 (|LFC|>0.58)",23,4,19
"time_contrasts","overall_48h_vs_24h","pval (padj<0.05)",95,17,78
"time_contrasts","overall_72h_vs_24h","lfc1 (|LFC|>1)",25,5,20
"time_contrasts","overall_72h_vs_24h","lfc058 (|LFC|>0.58)",142,18,124
"time_contrasts","overall_72h_vs_24h","pval (padj<0.05)",695,249,446
"time_contrasts","virus_48h_vs_24h","lfc1 (|LFC|>1)",1,0,1
"time_contrasts","virus_48h_vs_24h","lfc058 (|LFC|>0.58)",6,0,6
"time_contrasts","virus_48h_vs_24h","pval (padj<0.05)",47,11,36
"time_contrasts","virus_72h_vs_24h","lfc1 (|LFC|>1)",39,10,29
"time_contrasts","virus_72h_vs_24h","lfc058 (|LFC|>0.58)",147,28,119
"time_contrasts","virus_72h_vs_24h","pval (padj<0.05)",423,144,279
"virus_vs_control","24h","lfc1 (|LFC|>1)",0,0,0
"virus_vs_control","24h","lfc058 (|LFC|>0.58)",1,0,1
"virus_vs_control","24h","pval (padj<0.05)",13,7,6
"virus_vs_control","48h","lfc1 (|LFC|>1)",0,0,0
"virus_vs_control","48h","lfc058 (|LFC|>0.58)",0,0,0
"virus_vs_control","48h","pval (padj<0.05)",21,9,12
"virus_vs_control","72h","lfc1 (|LFC|>1)",2,2,0
"virus_vs_control","72h","lfc058 (|LFC|>0.58)",8,6,2
"virus_vs_control","72h","pval (padj<0.05)",13,9,4
"virus_vs_control","virus_vs_control","lfc1 (|LFC|>1)",0,0,0
"virus_vs_control","virus_vs_control","lfc058 (|LFC|>0.58)",0,0,0
"virus_vs_control","virus_vs_control","pval (padj<0.05)",0,0,0
